name,source,key_or_path,type,category,description,api_output,desired_output,transform_function
pgn_timezone,pgn,Timezone,string,time,Timezone tag,string,string,
pgn_eco,pgn,ECO,string,opening,ECO code,string,string,
pgn_eco_url,pgn,ECOUrl,string,opening,ECO page url,url,url,
pgn_utc_date,pgn,UTCDate,string,time,UTC date,"yyyy.MM.dd",string,
pgn_utc_time,pgn,UTCTime,string,time,UTC time,"HH:MM:SS",string,
pgn_white_elo,pgn,WhiteElo,number,ratings,White rating from PGN,number,number,
pgn_black_elo,pgn,BlackElo,number,ratings,Black rating from PGN,number,number,
pgn_time_control,pgn,TimeControl,string,time,Time control string from PGN,string,string,
pgn_termination,pgn,Termination,string,termination,Human readable termination,string,string,
pgn_start_time,pgn,StartTime,string,time,Local start time string,string,string,
pgn_end_date,pgn,EndDate,string,time,Local end date,"yyyy.MM.dd",string,
pgn_end_time,pgn,EndTime,string,time,Local end time string,string,string,
pgn_link,pgn,Link,string,identity,Game link url,url,url,
pgn_setup,pgn,SetUp,string,board,"Indicates non-standard initial position (""1"")","1 or empty","1 or empty",
pgn_fen_initial,pgn,FEN,string,board,Initial board setup FEN,FEN,FEN,
pgn_movetext,pgn,Movetext,text,pgn,Move body after headers,text,text,extract_pgn_moves

# desired_fields below are typical outputs you compute/materialize (reference names)
desired_format,derived,format,string,variant,"Canonical format bucket per spec","none","bullet|blitz|rapid|daily|live960|daily960|bughouse|crazyhouse|kingofthehill|threecheck",derive_format_spec
desired_start_time_epoch,derived,UTCDate+UTCTime→epoch,number,time,Start time epoch from PGN UTC headers,UTC strings,epoch,utc_pgn_to_epoch
desired_start_time_local,derived,epoch→local,string,time,Start time local string,epoch,"yyyy-MM-dd HH:mm:ss",to_local_datetime
desired_end_time_local,derived,end_time_epoch→local,string,time,End time local string,epoch,"yyyy-MM-dd HH:mm:ss",to_local_datetime
desired_date,derived,end_time_local→date,string,time,Local date,"yyyy-MM-dd","yyyy-MM-dd",extract_date
desired_base_time,derived,time_control→base,number,time,Base time seconds,string,number,parse_time_control
desired_increment,derived,time_control→inc,number,time,Increment seconds,string,number,parse_time_control
desired_corr_time,derived,time_control→corr,number,time,Correspondence seconds per move,string,number,parse_time_control
desired_my_color,derived,username match,string,identity,My color by matching configured username to PGN names,"white/black or empty","white/black",identity_my_color
desired_my_rating_end,derived,from JSON by my_color,number,ratings,Mine post-game rating,number,number,select_by_color
desired_opp_rating_end,derived,from JSON by opp_color,number,ratings,Opponent post-game rating,number,number,select_by_color
desired_my_outcome,derived,map result,string,result,My outcome from my result code,string,"win|loss|draw",map_result_to_outcome
desired_opp_outcome,derived,map result,string,result,Opponent outcome from opp result code,string,"win|loss|draw",map_result_to_outcome
desired_end_reason,derived,loser policy,string,termination,"Loser raw result (draw uses draw code)",result codes,string,end_reason_policy
desired_my_pregame_last,derived,last-based pregame,number,ratings,My pregame rating inferred from last per format,number or blank,number,last_based_delta
desired_my_delta_last,derived,last-based delta,number,ratings,My delta based on last rating per format,number or blank,number,last_based_delta
desired_opp_pregame_last,derived,last-based pregame,number,ratings,Opponent pregame inferred from delta and opp end,number or blank,number,last_based_delta
desired_opp_delta_last,derived,last-based delta,number,ratings,Opponent delta inferred as negative of my delta,number or blank,number,last_based_delta
desired_my_pregame_cb,derived,callback pregame,number,ratings,My pregame rating from callback,number or blank,number,callback_overlay
desired_my_delta_cb,derived,callback delta,number,ratings,My exact delta from callback,number or blank,number,callback_overlay
desired_opp_pregame_cb,derived,callback pregame,number,ratings,Opponent pregame rating from callback,number or blank,number,callback_overlay
desired_opp_delta_cb,derived,callback delta,number,ratings,Opponent exact delta from callback,number or blank,number,callback_overlay
desired_my_delta,derived,final selection,number,ratings,Final delta choosing callback when non-zero,number,number,final_delta_select
desired_opp_delta,derived,final selection,number,ratings,Final delta choosing callback when non-zero,number,number,final_delta_select
