field_name,type,source,source_path_or_rule,calculation_or_policy,target_sheets,description
base_time1,number,callback_json,game.baseTime1,,E_Callback,Callback base time
time_increment1,number,callback_json,game.timeIncrement1,,E_Callback,Callback increment
move_timestamps_ds,text,callback_json,game.moveTimestamps,"store as string with leading ' to preserve",E_Callback|Core(cb),Dense move timestamps string
my_country,string,callback_json,players.(top/bottom).countryName,by myColor,E_Callback,My country
my_membership,string,callback_json,players.(top/bottom).membershipCode,by myColor,E_Callback,My membership
my_default_tab,string,callback_json,players.(top/bottom).defaultTab,by myColor,E_Callback,My default tab
my_post_move_action,string,callback_json,players.(top/bottom).postMoveAction,by myColor,E_Callback,My post move action
opp_country,string,callback_json,players.(top/bottom).countryName,by oppColor,E_Callback,Opponent country
opp_membership,string,callback_json,players.(top/bottom).membershipCode,by oppColor,E_Callback,Opponent membership
opp_default_tab,string,callback_json,players.(top/bottom).defaultTab,by oppColor,E_Callback,Opponent default tab
opp_post_move_action,string,callback_json,players.(top/bottom).postMoveAction,by oppColor,E_Callback,Opponent post move action
my_pregame_last,number,materializer_state,ScriptProperties(LAST_RATING_FMT_<FORMAT>),previous post-game rating for same format,Core,Last-based pregame (me)
my_delta_last,number,materializer_state,my_rating_end - my_pregame_last,,Core,Last-based delta (me)
opp_pregame_last,number,materializer_state,opp_rating_end - (-my_delta_last),"if either missing blank",Core,Last-based pregame (opponent)
opp_delta_last,number,materializer_state,-my_delta_last,,Core,Last-based delta (opponent)
my_pregame_cb,number,callback_overlay,my_pregame_rating,,Core,Callback pregame (me)
my_delta_cb,number,callback_overlay,my_rating_change,,Core,Callback delta (me)
opp_pregame_cb,number,callback_overlay,opp_pregame_rating,,Core,Callback pregame (opponent)
opp_delta_cb,number,callback_overlay,opp_rating_change,,Core,Callback delta (opponent)
my_delta,number,final_selection,"my_delta_cb if non-zero else my_delta_last",,Core,Final delta (me)
opp_delta,number,final_selection,"opp_delta_cb if non-zero else opp_delta_last",,Core,Final delta (opponent)
